n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.03,0,7,247
20|20|0.03,0,8,247
20|20|0.03,0,9,247
20|20|0.03,0,10,247
20|20|0.03,0,11,247
20|20|0.03,0,12,247
20|20|0.03,0,13,277
20|20|0.03,0,14,277
20|20|0.03,0,15,277
20|20|0.03,0,16,277
20|20|0.03,0,17,277
20|20|0.03,0,18,277
20|20|0.03,0,19,277
20|20|0.03,1,0,68
20|20|0.03,1,1,266
20|20|0.03,1,2,266
20|20|0.03,1,3,309
20|20|0.03,1,4,309
20|20|0.03,1,5,309
20|20|0.03,1,6,309
20|20|0.03,1,7,309
20|20|0.03,1,8,309
20|20|0.03,1,9,309
20|20|0.03,1,10,309
20|20|0.03,1,11,309
20|20|0.03,1,12,309
20|20|0.03,1,13,309
20|20|0.03,1,14,309
20|20|0.03,1,15,309
20|20|0.03,1,16,309
20|20|0.03,1,17,309
20|20|0.03,1,18,309
20|20|0.03,1,19,309
20|20|0.03,2,0,236
20|20|0.03,2,1,236
20|20|0.03,2,2,251
20|20|0.03,2,3,251
20|20|0.03,2,4,251
20|20|0.03,2,5,251
20|20|0.03,2,6,251
20|20|0.03,2,7,251
20|20|0.03,2,8,251
20|20|0.03,2,9,251
20|20|0.03,2,10,251
20|20|0.03,2,11,251
20|20|0.03,2,12,251
20|20|0.03,2,13,251
20|20|0.03,2,14,251
20|20|0.03,2,15,251
20|20|0.03,2,16,251
20|20|0.03,2,17,251
20|20|0.03,2,18,251
20|20|0.03,2,19,251
20|20|0.03,3,0,258
20|20|0.03,3,1,258
20|20|0.03,3,2,258
20|20|0.03,3,3,258
20|20|0.03,3,4,258
20|20|0.03,3,5,258
20|20|0.03,3,6,269
20|20|0.03,3,7,269
20|20|0.03,3,8,269
20|20|0.03,3,9,269
20|20|0.03,3,10,269
20|20|0.03,3,11,269
20|20|0.03,3,12,269
20|20|0.03,3,13,269
20|20|0.03,3,14,269
20|20|0.03,3,15,269
20|20|0.03,3,16,269
20|20|0.03,3,17,269
20|20|0.03,3,18,269
20|20|0.03,3,19,269
20|20|0.03,4,0,167
20|20|0.03,4,1,224
20|20|0.03,4,2,224
20|20|0.03,4,3,224
20|20|0.03,4,4,239
20|20|0.03,4,5,239
20|20|0.03,4,6,239
20|20|0.03,4,7,239
20|20|0.03,4,8,239
20|20|0.03,4,9,244
20|20|0.03,4,10,244
20|20|0.03,4,11,244
20|20|0.03,4,12,252
20|20|0.03,4,13,252
20|20|0.03,4,14,252
20|20|0.03,4,15,252
20|20|0.03,4,16,252
20|20|0.03,4,17,263
20|20|0.03,4,18,263
20|20|0.03,4,19,263
20|20|0.03,5,0,207
20|20|0.03,5,1,224
20|20|0.03,5,2,239
20|20|0.03,5,3,239
20|20|0.03,5,4,239
20|20|0.03,5,5,239
20|20|0.03,5,6,239
20|20|0.03,5,7,239
20|20|0.03,5,8,239
20|20|0.03,5,9,239
20|20|0.03,5,10,239
20|20|0.03,5,11,239
20|20|0.03,5,12,247
20|20|0.03,5,13,247
20|20|0.03,5,14,247
20|20|0.03,5,15,247
20|20|0.03,5,16,247
20|20|0.03,5,17,247
20|20|0.03,5,18,247
20|20|0.03,5,19,247
20|20|0.03,6,0,234
20|20|0.03,6,1,234
20|20|0.03,6,2,234
20|20|0.03,6,3,277
20|20|0.03,6,4,277
20|20|0.03,6,5,277
20|20|0.03,6,6,277
20|20|0.03,6,7,277
20|20|0.03,6,8,277
20|20|0.03,6,9,277
20|20|0.03,6,10,277
20|20|0.03,6,11,277
20|20|0.03,6,12,277
20|20|0.03,6,13,277
20|20|0.03,6,14,284
20|20|0.03,6,15,284
20|20|0.03,6,16,284
20|20|0.03,6,17,284
20|20|0.03,6,18,284
20|20|0.03,6,19,284
20|20|0.03,7,0,212
20|20|0.03,7,1,212
20|20|0.03,7,2,220
20|20|0.03,7,3,220
20|20|0.03,7,4,247
20|20|0.03,7,5,247
20|20|0.03,7,6,247
20|20|0.03,7,7,247
20|20|0.03,7,8,247
20|20|0.03,7,9,247
20|20|0.03,7,10,247
20|20|0.03,7,11,247
20|20|0.03,7,12,247
20|20|0.03,7,13,247
20|20|0.03,7,14,247
20|20|0.03,7,15,247
20|20|0.03,7,16,247
20|20|0.03,7,17,247
20|20|0.03,7,18,247
20|20|0.03,7,19,247
20|20|0.03,8,0,216
20|20|0.03,8,1,216
20|20|0.03,8,2,236
20|20|0.03,8,3,236
20|20|0.03,8,4,241
20|20|0.03,8,5,241
20|20|0.03,8,6,241
20|20|0.03,8,7,241
20|20|0.03,8,8,309
20|20|0.03,8,9,309
20|20|0.03,8,10,309
20|20|0.03,8,11,309
20|20|0.03,8,12,309
20|20|0.03,8,13,309
20|20|0.03,8,14,309
20|20|0.03,8,15,309
20|20|0.03,8,16,309
20|20|0.03,8,17,309
20|20|0.03,8,18,309
20|20|0.03,8,19,309
20|20|0.03,9,0,270
20|20|0.03,9,1,270
20|20|0.03,9,2,270
20|20|0.03,9,3,270
20|20|0.03,9,4,270
20|20|0.03,9,5,270
20|20|0.03,9,6,270
20|20|0.03,9,7,270
20|20|0.03,9,8,270
20|20|0.03,9,9,270
20|20|0.03,9,10,270
20|20|0.03,9,11,270
20|20|0.03,9,12,270
20|20|0.03,9,13,270
20|20|0.03,9,14,270
20|20|0.03,9,15,270
20|20|0.03,9,16,270
20|20|0.03,9,17,270
20|20|0.03,9,18,270
20|20|0.03,9,19,270
20|20|0.04,0,0,178
20|20|0.04,0,1,178
20|20|0.04,0,2,202
20|20|0.04,0,3,202
20|20|0.04,0,4,270
20|20|0.04,0,5,270
20|20|0.04,0,6,270
20|20|0.04,0,7,270
20|20|0.04,0,8,270
20|20|0.04,0,9,270
20|20|0.04,0,10,270
20|20|0.04,0,11,270
20|20|0.04,0,12,270
20|20|0.04,0,13,270
20|20|0.04,0,14,270
20|20|0.04,0,15,270
20|20|0.04,0,16,270
20|20|0.04,0,17,270
20|20|0.04,0,18,270
20|20|0.04,0,19,270
20|20|0.04,1,0,252
20|20|0.04,1,1,252
20|20|0.04,1,2,309
20|20|0.04,1,3,309
20|20|0.04,1,4,309
20|20|0.04,1,5,309
20|20|0.04,1,6,309
20|20|0.04,1,7,309
20|20|0.04,1,8,309
20|20|0.04,1,9,309
20|20|0.04,1,10,309
20|20|0.04,1,11,309
20|20|0.04,1,12,309
20|20|0.04,1,13,309
20|20|0.04,1,14,309
20|20|0.04,1,15,309
20|20|0.04,1,16,309
20|20|0.04,1,17,309
20|20|0.04,1,18,309
20|20|0.04,1,19,309
20|20|0.04,2,0,222
20|20|0.04,2,1,232
20|20|0.04,2,2,251
20|20|0.04,2,3,260
20|20|0.04,2,4,260
20|20|0.04,2,5,260
20|20|0.04,2,6,260
20|20|0.04,2,7,260
20|20|0.04,2,8,309
20|20|0.04,2,9,309
20|20|0.04,2,10,309
20|20|0.04,2,11,309
